"Date","Price","Open","High","Low","Vol.","Change %"
"09/27/2023","97.09","100.51","104.51","96.56","","-5.77%"
"09/26/2023","103.04","94.07","105.40","93.12","","12.32%"
"09/25/2023","91.74","94.30","95.09","91.23","","1.33%"
"09/22/2023","90.54","93.78","93.78","88.05","","-4.13%"
"09/21/2023","94.44","90.67","94.55","88.82","","7.26%"
"09/20/2023","88.05","83.42","88.57","82.62","","5.40%"
"09/19/2023","83.54","85.26","86.47","81.74","","-1.45%"
"09/18/2023","84.77","88.29","89.13","83.82","","-0.08%"
"09/15/2023","84.84","82.49","85.83","82.39","","2.86%"
"09/14/2023","82.48","83.51","84.65","82.48","","-2.93%"
"09/13/2023","84.97","86.56","86.56","84.83","","-0.77%"
"09/12/2023","85.63","85.85","86.94","84.52","","0.52%"
"09/11/2023","85.19","86.38","88.04","84.90","","-0.09%"
"09/08/2023","85.27","87.30","87.30","84.41","","-2.72%"
"09/07/2023","87.65","91.19","92.96","87.08","","-0.23%"
"09/06/2023","87.85","87.08","89.95","86.68","","1.64%"
"09/05/2023","86.43","87.70","88.49","85.46","","4.57%"
"09/01/2023","82.65","81.98","82.71","80.96","","2.29%"
"08/31/2023","80.80","78.99","81.71","78.25","","2.76%"
"08/30/2023","78.63","78.83","79.97","77.95","","-0.53%"
"08/29/2023","79.05","81.99","82.17","78.52","","-3.87%"
"08/28/2023","82.23","85.36","85.36","82.23","","-2.48%"
"08/25/2023","84.32","90.54","93.10","83.05","","-8.52%"
"08/24/2023","92.17","88.56","92.50","88.02","","3.57%"
"08/23/2023","88.99","91.79","92.23","88.65","","-3.92%"
"08/22/2023","92.62","93.66","96.14","92.03","","-2.75%"
"08/21/2023","95.24","98.75","98.91","94.55","","-2.10%"
"08/18/2023","97.28","109.39","109.47","96.67","","-8.86%"
"08/17/2023","106.74","103.53","109.40","102.19","","2.10%"
"08/16/2023","104.54","102.58","104.99","100.02","","1.22%"
"08/15/2023","103.28","98.40","103.41","98.05","","8.34%"
"08/14/2023","95.33","100.43","101.21","93.57","","-1.40%"
"08/11/2023","96.68","101.57","103.57","96.52","","-3.11%"
"08/10/2023","99.78","93.14","104.72","90.01","","2.41%"
"08/09/2023","97.43","100.05","106.52","96.48","","2.66%"
"08/08/2023","94.91","97.73","105.13","94.91","","2.06%"
"08/07/2023","92.99","99.68","100.02","92.84","","-6.66%"
"08/04/2023","99.63","91.37","102.00","89.12","","5.94%"
"08/03/2023","94.04","100.58","102.24","93.99","","-2.25%"
"08/02/2023","96.20","92.92","101.50","92.92","","9.96%"
"08/01/2023","87.49","89.11","89.19","86.86","","0.93%"
"07/31/2023","86.68","88.67","88.67","86.53","","-0.80%"
"07/28/2023","87.38","88.27","88.66","85.43","","-7.09%"
"07/27/2023","94.05","82.81","97.29","82.81","","10.15%"
"07/26/2023","85.38","90.50","90.52","85.25","","-5.13%"
"07/25/2023","90.00","92.37","92.62","89.32","","-1.90%"
"07/24/2023","91.74","94.55","95.00","91.61","","-1.74%"
"07/21/2023","93.36","93.17","94.05","92.23","","-0.74%"
"07/20/2023","94.06","92.89","94.38","90.45","","0.52%"
"07/19/2023","93.57","91.86","93.58","91.43","","0.62%"
"07/18/2023","92.99","96.07","97.08","92.29","","-3.12%"
"07/17/2023","95.98","96.57","96.60","93.63","","1.15%"
"07/14/2023","94.89","96.22","98.05","94.80","","-1.60%"
"07/13/2023","96.43","94.85","97.70","94.23","","0.61%"
"07/12/2023","95.85","94.66","97.33","91.33","","0.67%"
"07/11/2023","95.21","94.97","95.88","93.96","","-0.13%"
"07/10/2023","95.33","95.60","97.30","94.74","","0.89%"
"07/07/2023","94.49","97.83","97.83","92.23","","-0.85%"
"07/06/2023","95.30","93.75","104.75","93.74","","8.59%"
"07/05/2023","87.76","88.31","88.84","86.94","","4.27%"
"07/03/2023","84.17","85.71","85.74","83.71","","1.28%"
"06/30/2023","83.11","85.15","85.26","82.33","","-2.52%"
"06/29/2023","85.26","86.20","87.13","84.84","","-0.62%"
"06/28/2023","85.79","91.28","91.28","85.57","","-6.07%"
"06/27/2023","91.33","93.77","94.27","90.16","","-4.29%"
"06/26/2023","95.42","96.05","96.97","93.66","","3.34%"
"06/23/2023","92.34","93.83","93.83","88.57","","1.88%"
"06/22/2023","90.64","95.95","96.10","90.09","","-2.25%"
"06/21/2023","92.73","97.55","97.62","91.48","","-3.67%"
"06/20/2023","96.26","94.34","98.89","94.34","","6.14%"
"06/16/2023","90.69","93.60","94.10","89.44","","-3.47%"
"06/15/2023","93.95","94.10","95.89","92.10","","2.22%"
"06/14/2023","91.91","93.85","95.83","91.86","","-0.21%"
"06/13/2023","92.10","88.44","92.34","88.33","","-0.79%"
"06/12/2023","92.83","91.81","93.08","90.80","","3.49%"
"06/09/2023","89.70","87.77","93.25","87.76","","2.36%"
"06/08/2023","87.63","84.40","88.12","84.15","","4.32%"
"06/07/2023","84.00","85.04","85.47","83.25","","-2.03%"
"06/06/2023","85.74","85.78","86.78","83.61","","-0.03%"
"06/05/2023","85.77","88.32","88.60","85.24","","-0.45%"
"06/02/2023","86.16","83.49","86.18","82.36","","1.28%"
"06/01/2023","85.07","89.44","89.96","84.07","","-6.92%"
"05/31/2023","91.39","93.74","95.71","90.30","","-0.57%"
"05/30/2023","91.91","93.99","96.92","91.34","","-5.80%"
"05/26/2023","97.57","101.52","101.76","93.82","","-6.07%"
"05/25/2023","103.88","102.94","105.62","101.07","","-2.48%"
"05/24/2023","106.52","105.27","111.47","104.40","","4.52%"
"05/23/2023","101.91","100.26","104.79","98.43","","4.37%"
"05/22/2023","97.64","95.09","98.66","92.83","","3.03%"
"05/19/2023","94.77","88.37","99.02","88.15","","6.41%"
"05/18/2023","89.06","92.73","92.94","88.90","","-3.99%"
"05/17/2023","92.76","95.40","95.75","92.42","","-4.99%"
"05/16/2023","97.63","96.02","98.16","94.37","","3.15%"
"05/15/2023","94.65","99.39","100.05","94.13","","-5.86%"
"05/12/2023","100.54","95.62","101.96","95.43","","3.31%"
"05/11/2023","97.32","99.46","101.60","96.25","","-0.22%"
"05/10/2023","97.53","96.69","101.53","94.98","","5.49%"
"05/09/2023","92.45","93.52","93.87","91.95","","0.51%"
"05/08/2023","91.98","94.36","94.85","91.43","","0.20%"
"05/05/2023","91.80","93.79","93.79","90.49","","-7.03%"
"05/04/2023","98.74","94.89","108.11","94.46","","7.87%"
"05/03/2023","91.54","91.84","94.90","88.88","","0.09%"
"05/02/2023","91.46","90.18","101.06","89.71","","3.68%"
"05/01/2023","88.21","88.23","89.30","87.02","","1.51%"
"04/28/2023","86.90","85.81","86.90","83.57","","1.29%"
"04/27/2023","85.79","89.41","89.82","85.14","","-5.36%"
"04/26/2023","90.65","94.54","94.54","89.12","","-3.92%"
"04/25/2023","94.35","96.35","100.39","94.01","","0.42%"
"04/24/2023","93.96","97.81","98.09","93.81","","-3.07%"
"04/21/2023","96.94","98.51","100.00","95.64","","-1.54%"
"04/20/2023","98.46","98.37","99.81","95.20","","3.60%"
"04/19/2023","95.04","88.57","95.08","87.17","","7.99%"
"04/18/2023","88.01","82.62","88.16","81.69","","5.84%"
"04/17/2023","83.15","81.85","84.58","81.18","","-1.02%"
"04/14/2023","84.01","85.49","87.62","83.97","","-0.85%"
